Origin,Destination,Average_Proportion,Average_Index,scaled_flow
HuiZhou,ShenZhen,27.636206896551727,4.825340937931034,133.35412050706302
HuiZhou,DongGuan,14.038620689655172,4.825340937931034,67.74113112587871
HuiZhou,GuangZhou,9.718965517241376,4.825340937931034,46.897322184684874
HuiZhou,FoShan,2.1668965517241383,4.825340937931034,10.456014639296077
HuiZhou,ZhaoQing,0.7648275862068965,4.825340937931034,3.6905538621831147
HuiZhou,JiangMen,0.5399999999999999,4.825340937931034,2.605684106482758
HuiZhou,ZhongShan,0.743103448275862,4.825340937931034,3.585727490083234
HuiZhou,ZhuHai,0.6982758620689655,4.825340937931034,3.3694191032104635
FoShan,GuangZhou,33.652068965517245,7.203956772413793,242.42805012987398
FoShan,ZhaoQing,8.449310344827586,7.203956772413793,60.86846648084661
FoShan,JiangMen,5.14896551724138,7.203956772413793,37.09292500885613
FoShan,ZhongShan,5.084827586206899,7.203956772413793,36.63087812621167
FoShan,HuiZhou,1.4841379310344824,7.203956772413793,10.691665499472055
FoShan,ShenZhen,2.853448275862069,7.203956772413793,20.556118031629012
FoShan,DongGuan,2.4779310344827583,7.203956772413793,17.85090805743638
FoShan,ZhuHai,1.789655172413793,7.203956772413793,12.892598499595719
GuangZhou,FoShan,20.054482758620686,12.03086631724138,241.2728011303876
GuangZhou,DongGuan,6.471034482758624,12.03086631724138,77.85215079632822
GuangZhou,ShenZhen,5.516206896551723,12.03086631724138,66.36474775065872
GuangZhou,HuiZhou,3.876551724137932,12.03086631724138,46.63827556497504
GuangZhou,ZhongShan,2.4496551724137934,12.03086631724138,29.47147390264923
GuangZhou,ZhaoQing,3.2627586206896555,12.03086631724138,39.25381279094412
GuangZhou,JiangMen,2.622413793103448,12.03086631724138,31.549909773317477
GuangZhou,ZhuHai,2.4424137931034484,12.03086631724138,29.384353836214032
ZhaoQing,FoShan,27.627586206896552,2.177419655172414,60.156849231866836
ZhaoQing,GuangZhou,17.644482758620686,2.177419655172414,38.41944356397146
ZhaoQing,ZhongShan,3.222068965517241,2.177419655172414,7.015796295838288
ZhaoQing,DongGuan,2.8993103448275863,2.177419655172414,6.313015331272296
ZhaoQing,ShenZhen,2.646206896551724,2.177419655172414,5.761902908204519
ZhaoQing,JiangMen,2.4565517241379307,2.177419655172414,5.3489440080856125
ZhaoQing,ZhuHai,1.2010344827586206,2.177419655172414,2.6151560892984542
ZhaoQing,HuiZhou,1.0324137931034485,2.177419655172414,2.247998085374555
ZhuHai,ZhongShan,27.67206896551724,2.653824786206897,73.4368225063163
ZhuHai,GuangZhou,9.358965517241382,2.653824786206897,24.83705466291083
ZhuHai,JiangMen,4.9158620689655175,2.653824786206897,13.04583660419501
ZhuHai,ShenZhen,4.65896551724138,2.653824786206897,12.36407816773841
ZhuHai,FoShan,3.752758620689655,2.653824786206897,9.959163844237814
ZhuHai,DongGuan,1.8817241379310343,2.653824786206897,4.993766158045185
ZhuHai,HuiZhou,1.07,2.653824786206897,2.83959252124138
ZhuHai,ZhaoQing,1.0882758620689656,2.653824786206897,2.8880934569892993
ShenZhen,HuiZhou,13.736551724137936,10.7446824,147.59488554703455
ShenZhen,DongGuan,17.1148275862069,10.7446824,183.89338674455178
ShenZhen,GuangZhou,7.607931034482758,10.7446824,81.74480268662069
ShenZhen,FoShan,2.3868965517241385,10.7446824,25.64644536993104
ShenZhen,ZhaoQing,0.8268965517241379,10.7446824,8.884740825931035
ShenZhen,JiangMen,0.9168965517241378,10.7446824,9.851762241931032
ShenZhen,ZhuHai,1.5624137931034483,10.7446824,16.787639984275863
ShenZhen,ZhongShan,1.3462068965517244,10.7446824,14.464565548137935
DongGuan,ShenZhen,23.045172413793097,8.283461089655173,190.89378899404988
DongGuan,GuangZhou,13.5648275862069,8.283461089655173,112.36372149822596
DongGuan,HuiZhou,11.337241379310347,8.283461089655173,93.91159782954581
DongGuan,FoShan,3.425172413793103,8.283461089655173,28.37228241501546
DongGuan,ZhongShan,1.3824137931034486,8.283461089655173,11.451170864975033
DongGuan,ZhuHai,1.076206896551724,8.283461089655173,8.914717952004755
DongGuan,JiangMen,1.1306896551724137,8.283461089655173,9.366023763096313
DongGuan,ZhaoQing,1.32551724137931,8.283461089655173,10.979870492632578
ZhongShan,ZhuHai,24.95,3.807805531034483,95.00474799931035
ZhongShan,GuangZhou,10.116551724137937,3.807805531034483,38.52186161016887
ZhongShan,FoShan,10.881724137931036,3.807805531034483,41.43548935960524
ZhongShan,JiangMen,6.828620689655173,3.807805531034483,26.002059631405473
ZhongShan,ZhaoQing,2.4748275862068976,3.807805531034483,9.423662171115344
ZhongShan,ShenZhen,3.6448275862068966,3.807805531034483,13.878794642425685
ZhongShan,HuiZhou,1.0162068965517244,3.807805531034483,3.869518241365043
ZhongShan,DongGuan,2.48551724137931,3.807805531034483,9.464366299205707
JiangMen,FoShan,15.696206896551722,2.206232193103448,34.62947696478477
JiangMen,GuangZhou,15.40655172413793,2.206232193103448,33.99043039850653
JiangMen,ZhongShan,10.223103448275864,2.206232193103448,22.55453994101308
JiangMen,ZhuHai,6.9465517241379295,2.206232193103448,15.325706044851362
JiangMen,DongGuan,3.0806896551724146,2.206232193103448,6.796716694202141
JiangMen,ShenZhen,3.787586206896551,2.206232193103448,8.356294623809747
JiangMen,ZhaoQing,3.182068965517241,2.206232193103448,7.020382992399522
JiangMen,HuiZhou,1.1017241379310343,2.206232193103448,2.4306592610225914
