Origin,Destination,scaled_flow
DongGuan,ShenZhen,303.9978200975999
DongGuan,GuangZhou,148.33897830215997
DongGuan,HuiZhou,127.56647115648002
DongGuan,FoShan,36.57319582824
DongGuan,ZhongShan,18.49992462576
DongGuan,ZhaoQing,7.549153428240001
DongGuan,JiangMen,9.731761416720001
DongGuan,ZhuHai,8.55628769952
HuiZhou,ShenZhen,170.65988328492
HuiZhou,DongGuan,107.16481087919999
HuiZhou,GuangZhou,50.488891673759994
HuiZhou,FoShan,11.258080117559999
HuiZhou,ZhongShan,4.53725757684
HuiZhou,ZhuHai,2.8250554572
HuiZhou,JiangMen,2.3708614582800003
HuiZhou,ZhaoQing,2.1055247578799996
FoShan,GuangZhou,344.94646010651996
FoShan,ZhongShan,69.51132325260001
FoShan,ZhaoQing,61.16625082548
FoShan,JiangMen,46.75734001043998
FoShan,DongGuan,32.75427664656
FoShan,ShenZhen,28.663970962320004
FoShan,ZhuHai,11.854459210680004
FoShan,HuiZhou,12.554745008759998
GuangZhou,FoShan,342.43210815803997
GuangZhou,DongGuan,131.87099701944
GuangZhou,ShenZhen,93.90443210027996
GuangZhou,HuiZhou,51.49085560847999
GuangZhou,ZhongShan,45.49227681132
GuangZhou,ZhaoQing,38.333076861959995
GuangZhou,JiangMen,31.988347896599997
GuangZhou,ZhuHai,25.892032581359995
ZhuHai,ZhongShan,112.09299759719997
ZhuHai,GuangZhou,23.484536188200003
ZhuHai,JiangMen,13.357362796199999
ZhuHai,ShenZhen,11.926985669999999
ZhuHai,FoShan,9.834380964000001
ZhuHai,DongGuan,6.8160354929999984
ZhuHai,HuiZhou,2.4465390821999997
ZhuHai,ZhaoQing,1.9780711973999994
ZhaoQing,FoShan,54.45222657840001
ZhaoQing,GuangZhou,36.73944738359998
ZhaoQing,DongGuan,6.206667163199999
ZhaoQing,ShenZhen,5.2233337512
ZhaoQing,JiangMen,4.36111146
ZhaoQing,ZhongShan,4.402778130000001
ZhaoQing,ZhuHai,2.2533335136000003
ZhaoQing,HuiZhou,2.0161112724000003
ShenZhen,DongGuan,310.51096576199996
ShenZhen,HuiZhou,187.09212598200006
ShenZhen,GuangZhou,100.09623433679995
ShenZhen,FoShan,30.551665057199994
ShenZhen,ZhongShan,18.826028784
ShenZhen,ZhuHai,13.780923948000002
ShenZhen,JiangMen,8.959293554399999
ShenZhen,ZhaoQing,5.762931832800001
ZhongShan,ZhuHai,125.20843871184003
ZhongShan,FoShan,69.32818537920002
ZhongShan,GuangZhou,48.64907405952
ZhongShan,JiangMen,40.85914650048
ZhongShan,ShenZhen,17.53683030396
ZhongShan,DongGuan,16.333894067039996
ZhongShan,ZhaoQing,5.126379904799999
ZhongShan,HuiZhou,4.6652769504
JiangMen,FoShan,41.04485784036001
JiangMen,ZhongShan,37.4372127
JiangMen,GuangZhou,32.252647052520004
JiangMen,ZhuHai,14.510012560560003
JiangMen,DongGuan,7.983566993520003
JiangMen,ShenZhen,8.15284830312
JiangMen,ZhaoQing,4.679977128480001
JiangMen,HuiZhou,2.32892017092
