city,out_flow,in_flow,net_flow,date
ShenZhen,675.975301776,786.810914352,110.83561257600002,20241104
ShenZhen,503.66322547199997,479.195561952,-24.467663519999974,20241105
ShenZhen,503.14196066399995,482.492339712,-20.649620951999964,20241106
ShenZhen,520.551769536,539.328203928,18.776434391999942,20241107
ShenZhen,576.454587948,541.490583492,-34.964004456,20241108
ShenZhen,929.2283673120002,648.38194092,-280.8464263920001,20241109
ShenZhen,689.166556452,688.73599512,-0.4305613320000248,20241110
GuangZhou,749.513984184,882.719994672,133.20601048799995,20241104
GuangZhou,600.54814908,609.924627108,9.376478027999951,20241105
GuangZhou,585.6407568,579.0720028320001,-6.568753967999896,20241106
GuangZhou,598.4612534160001,652.687186176,54.225932759999864,20241107
GuangZhou,711.803386692,686.337941196,-25.46544549600003,20241108
GuangZhou,961.2039467520001,861.3021713400001,-99.901775412,20241109
GuangZhou,765.2115424799999,826.77984822,61.56830574000003,20241110
HuiZhou,467.38605938399996,335.16362476800003,-132.22243461599993,20241104
HuiZhou,256.44754288800004,285.318300312,28.870757423999976,20241105
HuiZhou,247.29500750399998,286.550341416,39.255333912,20241106
HuiZhou,298.70562132,280.32833937600003,-18.377281943999947,20241107
HuiZhou,282.21629256,332.27279568000006,50.05650312000006,20241108
HuiZhou,330.28497986400004,540.88681338,210.601833516,20241109
HuiZhou,384.363495216,412.52351036399995,28.160015147999957,20241110
FoShan,694.508090112,582.4531761119999,-112.05491400000005,20241104
FoShan,496.280548512,498.72135520800003,2.4408066960000383,20241105
FoShan,474.36442289999997,473.51614262399994,-0.8482802760000254,20241106
FoShan,544.3347743999999,488.834962416,-55.499811983999905,20241107
FoShan,537.231091248,557.905244832,20.67415358400001,20241108
FoShan,637.984205172,723.755827692,85.77162252000005,20241109
FoShan,648.0120398399999,602.782664976,-45.229374863999965,20241110
ZhongShan,381.88620676799997,299.64057191999996,-82.24563484800001,20241104
ZhongShan,270.21447072,272.31950584799995,2.1050351279999404,20241105
ZhongShan,258.979781088,254.46517254,-4.514608547999984,20241106
ZhongShan,308.0866752,260.21908368000004,-47.86759151999996,20241107
ZhongShan,286.531905816,297.48852827999997,10.956622463999963,20241108
ZhongShan,325.53798976800005,362.90887390800003,37.37088413999999,20241109
ZhongShan,343.0543978799999,308.64456594,-34.40983193999989,20241110
JiangMen,167.976697428,163.04073238799998,-4.9359650400000135,20241104
JiangMen,120.787064568,131.964774588,11.177710020000006,20241105
JiangMen,115.03742763599999,126.89541648000001,11.857988844000019,20241106
JiangMen,121.33887123599999,131.229793872,9.890922635999999,20241107
JiangMen,138.64840502400003,146.693117988,8.044712963999984,20241108
JiangMen,160.954142256,217.36551528,56.411373024,20241109
JiangMen,168.01808616,188.07205158,20.053965419999997,20241110
ZhuHai,172.52554175999998,251.881668144,79.35612638400002,20241104
ZhuHai,159.32851146,163.54727625599998,4.218764795999988,20241105
ZhuHai,151.362107028,157.17367656000002,5.811569532000021,20241106
ZhuHai,144.8037486,201.027606624,56.22385802399998,20241107
ZhuHai,184.232366136,185.797676556,1.565310420000003,20241108
ZhuHai,227.77044966,230.695765956,2.9253162960000054,20241109
ZhuHai,189.04149198,209.955968676,20.91447669600001,20241110
ZhaoQing,131.815276128,119.964047544,-11.851228583999998,20241104
ZhaoQing,85.851435708,91.338997464,5.487561756000005,20241105
ZhaoQing,79.7139792,89.30896542,9.59498622000001,20241106
ZhaoQing,82.91856146400002,92.45001355199999,9.531452087999966,20241107
ZhaoQing,102.71181931199999,109.56625023599999,6.854430923999999,20241108
ZhaoQing,126.69336198000002,169.385385924,42.69202394399997,20241109
ZhaoQing,119.64126513599999,153.625544784,33.98427964800001,20241110
DongGuan,666.71318052,686.6256081600001,19.912427640000033,20241104
DongGuan,511.00033572,471.79088539200006,-39.209450327999946,20241105
DongGuan,502.7945076,468.855892836,-33.938614763999965,20241106
DongGuan,531.475295076,504.57138062399997,-26.90391445199998,20241107
DongGuan,553.5337590720001,515.811475548,-37.72228352400009,20241108
DongGuan,713.39787882,658.373027184,-55.024851635999994,20241109
DongGuan,702.10917126,617.4978967440001,-84.61127451599998,20241110
