Origin,Destination,Weekday_Avg_Proportion
GuangZhou,FoShan,29.648095238095248
GuangZhou,DongGuan,10.979999999999999
GuangZhou,ShenZhen,7.63095238095238
GuangZhou,HuiZhou,3.814761904761905
GuangZhou,ZhongShan,3.592857142857143
GuangZhou,ZhaoQing,2.942857142857143
GuangZhou,JiangMen,2.7095238095238097
GuangZhou,ZhuHai,2.185238095238095
ZhuHai,ZhongShan,42.97380952380952
ZhuHai,GuangZhou,8.35142857142857
ZhuHai,ShenZhen,5.216190476190476
ZhuHai,JiangMen,4.742857142857143
ZhuHai,FoShan,3.243333333333334
ZhuHai,DongGuan,2.3566666666666665
ZhuHai,HuiZhou,0.8714285714285714
ZhuHai,ZhaoQing,0.6261904761904762
DongGuan,ShenZhen,36.46000000000001
DongGuan,GuangZhou,17.55857142857143
DongGuan,HuiZhou,14.077142857142855
DongGuan,FoShan,4.17
DongGuan,ZhongShan,2.0523809523809526
DongGuan,JiangMen,1.1995238095238094
DongGuan,ZhuHai,1.0614285714285716
DongGuan,ZhaoQing,0.822857142857143
HuiZhou,ShenZhen,38.17761904761905
HuiZhou,DongGuan,23.03190476190476
HuiZhou,GuangZhou,10.027142857142858
HuiZhou,FoShan,2.1690476190476193
HuiZhou,ZhongShan,0.9419047619047619
HuiZhou,ZhuHai,0.6257142857142858
HuiZhou,JiangMen,0.5142857142857145
HuiZhou,ZhaoQing,0.41523809523809535
FoShan,GuangZhou,45.42714285714286
FoShan,ZhongShan,8.891904761904762
FoShan,ZhaoQing,7.5238095238095255
FoShan,JiangMen,6.0876190476190475
FoShan,DongGuan,3.826666666666667
FoShan,ShenZhen,3.3828571428571426
FoShan,ZhuHai,1.4514285714285713
FoShan,HuiZhou,1.3528571428571425
ZhaoQing,FoShan,33.67285714285714
ZhaoQing,GuangZhou,20.996666666666666
ZhaoQing,DongGuan,3.4499999999999993
ZhaoQing,JiangMen,2.8400000000000003
ZhaoQing,ZhongShan,2.6252380952380956
ZhaoQing,ShenZhen,2.9557142857142855
ZhaoQing,HuiZhou,1.0833333333333335
ZhaoQing,ZhuHai,1.2190476190476192
ShenZhen,DongGuan,31.68238095238095
ShenZhen,HuiZhou,17.46142857142857
ShenZhen,GuangZhou,9.394285714285711
ShenZhen,ZhuHai,1.7328571428571429
ShenZhen,FoShan,2.8476190476190477
ShenZhen,ZhongShan,2.2776190476190474
ShenZhen,JiangMen,1.0323809523809526
ShenZhen,ZhaoQing,0.5433333333333333
ZhongShan,ZhuHai,33.327619047619045
ZhongShan,FoShan,17.083809523809524
ZhongShan,GuangZhou,10.92095238095238
ZhongShan,JiangMen,9.954761904761904
ZhongShan,ShenZhen,5.183333333333333
ZhongShan,DongGuan,3.531428571428572
ZhongShan,HuiZhou,0.9685714285714284
ZhongShan,ZhaoQing,1.1571428571428568
JiangMen,FoShan,21.52857142857143
JiangMen,ZhongShan,19.205714285714286
JiangMen,GuangZhou,15.964285714285712
JiangMen,ZhuHai,8.071428571428571
JiangMen,ShenZhen,4.495238095238095
JiangMen,DongGuan,3.897142857142858
JiangMen,ZhaoQing,2.3795238095238096
JiangMen,HuiZhou,1.1047619047619048
